number	sci name
1	Astyanax fasciatus
2	Prochilodus marggravii
3	Salminus brasiliensis
4	Pseudoplatystoma corruscans
5	Brycon hilarii
6	Colossoma macropomum
7	Cichla temensis
8	Zungaro zungaro
9	Pomatomus saltator
10	Centropomus undecimalis
11	Coryphaena hippurus
12	Epinephelus marginatus
13	Arapaima gigas
14	Pygocentrus nattereri
15	Hoplosternum littorale
16	Phractocephalus hemioliopterus
17	Dissostichus eleginoides
18	Sardinops sagax
19	Engraulis ringens
20	Trachurus murphyi
21	Semaprochilodus laticeps
22	Brachyplatystoma vaillanti
23	Colossoma macropomum
24	Ancistrus triradiatus
25	Megalops atlanticus
26	Albula vulpes
27	Seriola dumerili
28	Sphyraena barracuda
29	Acanthocybium solandri
30	Xanthichthys ringens
31	Scomberomorus maculatus
32	Thunnus albacares
33	Kajikia audax
34	Makaira nigricans
35	Nematistius pectoralis
36	Pagrus pagrus
37	Sander vitreus
38	Sander canadensis
39	Lepomis macrochirus
40	Micropterus salmoides
41	Oncorhynchus mykiss
42	Ictalurus punctatus
43	Oncorhynchus nerka
44	Oncorhynchus clarkii
45	Salmo salar
46	Morone saxatilis
47	Clupea harengus
48	Pollachius pollachius
49	Pomoxis nigromaculatus
50	Salmo trutta
51	Scaphirhynchus platorynchus
52	Couesius plumbeus
53	Oncorhynchus tshawytscha
54	Oncorhynchus gorbuscha
55	Oncorhynchus kisutch
56	Salvelinus malma
57	Mallotus villosus
58	Reinhardtius hippoglossoides
59	Icelus bicornis
60	Melanogrammus aeglefinus
61	Alburnus alburnus
62	Abramis brama
63	Coregonus albula
64	Thymallus arcticus
65	Hucho hucho
66	Lota lota
67	Tinca tinca
68	Anguilla anguilla
69	Salmo trutta marmoratus
70	Squalius cephalus
71	Barbus plebejus
72	Phoxinus phoxinus phoxinus
73	Mullus surmuletus
74	Conger conger
75	Scomber colias
76	Xiphias gladius
77	Coryphaena equiselis
78	Atherinomorus lacunosus
79	Tylosurus acus imperialis
80	Parapristipoma humile
81	Lates niloticus
82	Oreochromis niloticus
83	Parachanna obscura
84	Xenomystus nigri
85	Apogon imberbis
86	Chelidonichthys cuculus
87	Caranx fischeri
88	Alectis alexandrina
89	Schilbe mystu
90	Raiamas senegalensis
91	Clarias gariepinus
92	Alestes baremoze
93	Clupeocharax schoutedeni
94	Raiamas moorii
95	Synodontis angelicus
96	Platypanchax modestus
97	Sandelia capensis
98	Pseudobarbus burchelli
99	Oreochromis mossambicus
100	Labeo capensis
101	Istiompax indica
102	Caranx ignobilis
103	Euthynnus affinis
104	Megalops cyprinoides
105	Rutilus caspicus
106	Acipenser persicus
107	Atherina boyeri
108	Alosa braschnikowi
109	Acanthurus xanthopterus
110	Zebrasoma xanthurum
111	Caesio striata
112	Alectis ciliaris
113	Tenualosa ilisha
114	Labeo catla
115	Aphanius fasciatus
116	Cirrhinus mrigala
117	Lethenteron camtschaticum
118	Coregonus autumnalis
119	Acipenser baerii
120	Coregonus muksun
121	Esox reichertii
122	Thymallus nigrescens
123	Brachymystax leno
124	Hucho taimen
125	Psephurus gladius
126	Cyprinus carpio
127	Coreius septentrionalis
128	Silurus lanzhouensis
129	Pangasionodon gigas
130	Catlocarpio siamensis
131	Oreichthys parvus
132	Dichotomyctere ocellatus
133	Arctoscopus japonicus
134	Pleurogrammus monopterygius
135	Trachurus japonicus
136	Centropyge interruptus
137	Istiophorus platypterus
138	Lutjanus fulviflamma
139	Cephalopholis miniata
140	Scarus rubroviolaceus
141	Chaetodon raffles
142	Pterapogon kauderni
143	Plagiotremus rhinorhynchos
144	Fistularia commersonii
145	Amphiprion chagosensis
146	Chrysiptera cyanea
147	Paracanthurus hepatus
148	Cheilinus undulatus
149	Hyperoglyphe antarctica
150	Arripis trutta
151	Rexea solandri
152	Scorpis violacea
153	Chimaera monstrosa
154	Paraliparis bathybius
155	Liopsetta glacialis
156	Boreogadus saida
157	Dissostichus mawsoni
158	Rematomus bernacchii
159	Pagothenia borchgrevinki
160	Chionodraco rastrospinosus
